year,UCB,UCD,UCI,UCLA,UCM,UCR,UCSB,UCSC,UCSD
1961,15858,2653,0,12448,0,1789,3940,0,0
1962,16720,3183,0,13112,0,1821,4615,0,0
1963,17671,3764,0,14129,0,2091,5602,0,0
1964,17768,4987,0,15376,0,2427,7255,0,181
1965,16600,6176,1449,16392,0,2710,8641,652,869
1966,16862,7063,2065,17183,0,2970,9963,1267,1470
1967,18337,7574,2371,18600,0,3131,10699,1922,2107
1968,17887,8585,2960,18548,0,3413,10858,2539,2660
1969,18016,9318,3661,19404,0,4031,11696,3007,3474
1970,18711,9972,5054,17890,0,4673,11798,3495,4310
1971,18398,10281,5355,17467,0,4876,11209,4084,4903
1972,19170,11310,5810,18824,0,4299,10529,4508,5348
1973,20777,11544,6639,19964,0,4098,10607,4783,6190
1974,20469,11909,6885,20605,0,3726,11421,5250,6880
1975,20639,12552,7415,21421,0,3757,12546,5775,7577
1976,19773,12452,7423,20350,0,3705,12747,5803,8065
1977,19244,12410,7166,19984,0,3566,12706,5748,8132
1978,19941,12574,7668,20037,0,3276,12623,5533,8514
1979,21135,12905,7688,20941,0,3199,12804,5693,10159
1980,21481,13725,7720,21860,0,3277,13362,5998,9049
1981,19244,12410,7166,19984,0,3566,12706,5748,8132
1982,20356,13994,8745,22820,0,2885,14220,6286,10575
1983,21132,13830,9436,23063,0,3357,14744,6350,11122
1984,21763,14344,10211,22842,0,3519,14843,6557,11700
1985,22184,14523,10982,22850,0,3833,15277,6982,12110
1986,21992,14362,11880,22698,0,4253,15877,7953,13094
1987,22636,15468,12369,23447,0,5023,15777,8512,13589
1988,22595,16545,13032,23819,0,6253,16586,8804,14105
1989,22212,17202,13150,24249,0,6960,16962,9050,14324
1990,21525,18395,13682,24209,0,7388,16090,9265,14490
1991,21581,17877,13811,24327,0,7543,16297,9327,14654
1992,21721,17508,13888,23602,0,7442,16372,9399,14857
1993,21593,17206,13541,22786,0,7341,16421,9320,14449
1994,21018,17273,13597,23527,0,7341,15544,9223,14417
1995,21061,18001,13833,23687,0,7585,15945,8908,14928
1996,21236,18819,14353,23882,0,7779,16290,9191,14710
1997,21631,19132,14224,23920,0,8531,16718,9599,15221
1998,22273,19344,14533,24093,0,9281,17068,9960,15925
1999,22593,19460,15522,24658,0,10261,17711,10269,16308
2000,22557,20329,16374,25003,0,11576,17554,11075,16560
2001,23152,21294,17865,25303,0,12836,17733,12034,17514
2002,23715,22750,19401,24855,0,14239,17726,12881,19088
2003,23205,23509,20133,25677,0,15399,17862,13660,19872
2004,22880,23171,19994,24914,0,15174,18132,13694,20339
2005,23482,22735,20061,24774,841,14649,18086,13625,20680
2006,23863,23458,20822,25338,1210,14860,18218,13961,21369
2007,24636,23499,21733,25780,1750,15041,18429,14403,22048
2008,25151,24209,22076,26334,2534,15752,18900,15125,22518
2009,25530,24655,22184,26442,3190,17042,19814,15259,23143
